step,total_loss,learning_rate,beats_features,whisper_features
0,3.40234375,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/096m7z']", you
1,3.390625,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/096m7z']", you
2,3.048828125,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", so
3,4.1953125,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", so
4,4.5859375,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I
5,3.72265625,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I
6,2.9375,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm not going to do it.
7,3.095703125,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm not going to do it.
8,2.8125,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm sorry.
9,3.359375,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm sorry.
10,2.78125,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!
11,2.62890625,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!
12,2.54296875,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm sorry.
13,2.6953125,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm sorry.
14,3.19140625,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm a bad boy! I'm a bad boy! I'm a bad boy!
15,2.990234375,0.01,"['/m/07rgkc5', '/m/0chx_', '/m/07qlf79', '/m/0cj0r', '/m/06wzb']", I'm sorry.
