step,total_loss,learning_rate,beats_features,whisper_features
0,3.7265625,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
1,3.28125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
2,3.84765625,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
3,3.39453125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
4,3.783203125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
5,3.494140625,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
6,3.111328125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
7,3.068359375,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
8,3.435546875,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
9,3.501953125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
10,3.236328125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
11,4.1328125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
12,3.5078125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
13,3.205078125,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
14,3.744140625,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
15,3.197265625,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
16,3.671875,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
17,3.29296875,0.01,"['/m/04rlf', '/m/09x0r', '/m/07yv9', '/m/0k4j', '/m/032s66']", you
