step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,4.40234375,4.40234375,0.0,1e-05
1,2.90234375,2.90234375,0.0,1e-05
2,3.986328125,3.986328125,0.0,1e-05
3,3.91015625,3.91015625,0.0,1e-05
4,3.197265625,3.197265625,0.0,1e-05
5,2.958984375,2.958984375,0.0,1e-05
6,3.56640625,3.56640625,0.0,1e-05
7,3.95703125,3.95703125,0.0,1e-05
8,3.591796875,3.591796875,0.0,1e-05
9,3.361328125,3.361328125,0.0,1e-05
10,3.38671875,3.38671875,0.0,1e-05
11,3.037109375,3.037109375,0.0,1e-05
12,3.455078125,3.455078125,0.0,1e-05
13,3.33984375,3.33984375,0.0,1e-05
14,3.30078125,3.30078125,0.0,1e-05
15,3.0859375,3.0859375,0.0,1e-05
16,3.51953125,3.51953125,0.0,1e-05
17,3.876953125,3.876953125,0.0,1e-05
18,3.103515625,3.103515625,0.0,1e-05
19,3.19140625,3.19140625,0.0,1e-05
20,3.02734375,3.02734375,0.0,1e-05
21,3.162109375,3.162109375,0.0,1e-05
22,2.865234375,2.865234375,0.0,1e-05
23,3.314453125,3.314453125,0.0,1e-05
24,4.44921875,4.44921875,0.0,1e-05
25,2.9375,2.9375,0.0,1e-05
26,3.40625,3.40625,0.0,1e-05
27,3.025390625,3.025390625,0.0,1e-05
28,3.005859375,3.005859375,0.0,1e-05
29,3.205078125,3.205078125,0.0,1e-05
30,3.75390625,3.75390625,0.0,1e-05
31,3.044921875,3.044921875,0.0,1e-05
32,3.783203125,3.783203125,0.0,1e-05
33,3.37109375,3.37109375,0.0,1e-05
34,3.44921875,3.44921875,0.0,1e-05
35,3.08203125,3.08203125,0.0,1e-05
36,3.287109375,3.287109375,0.0,1e-05
37,3.51953125,3.51953125,0.0,1e-05
38,3.666015625,3.666015625,0.0,1e-05
39,2.919921875,2.919921875,0.0,1e-05
40,3.822265625,3.822265625,0.0,1e-05
41,3.55078125,3.55078125,0.0,1e-05
42,3.646484375,3.646484375,0.0,1e-05
43,3.06640625,3.06640625,0.0,1e-05
44,2.8203125,2.8203125,0.0,1e-05
45,2.677734375,2.677734375,0.0,1e-05
46,3.017578125,3.017578125,0.0,1e-05
47,3.1953125,3.1953125,0.0,1e-05
48,2.904296875,2.904296875,0.0,1e-05
49,2.919921875,2.919921875,0.0,1e-05
50,3.052734375,3.052734375,0.0,1e-05
51,3.10546875,3.10546875,0.0,1e-05
52,3.671875,3.671875,0.0,1e-05
53,3.0,3.0,0.0,1e-05
54,3.431640625,3.431640625,0.0,1e-05
55,3.103515625,3.103515625,0.0,1e-05
56,3.38671875,3.38671875,0.0,1e-05
57,3.1171875,3.1171875,0.0,1e-05
58,3.390625,3.390625,0.0,1e-05
59,3.009765625,3.009765625,0.0,1e-05
60,3.41015625,3.41015625,0.0,1e-05
61,3.1484375,3.1484375,0.0,1e-05
62,2.61328125,2.61328125,0.0,1e-05
63,3.451171875,3.451171875,0.0,1e-05
64,3.154296875,3.154296875,0.0,1e-05
65,3.03515625,3.03515625,0.0,1e-05
66,2.759765625,2.759765625,0.0,1e-05
67,3.52734375,3.52734375,0.0,1e-05
68,3.36328125,3.36328125,0.0,1e-05
69,2.88671875,2.88671875,0.0,1e-05
70,3.140625,3.140625,0.0,1e-05
71,2.48046875,2.48046875,0.0,1e-05
72,2.75,2.75,0.0,1e-05
73,3.029296875,3.029296875,0.0,1e-05
74,2.923828125,2.923828125,0.0,1e-05
75,3.259765625,3.259765625,0.0,1e-05
76,3.369140625,3.369140625,0.0,1e-05
77,3.69921875,3.69921875,0.0,1e-05
78,3.048828125,3.048828125,0.0,1e-05
79,2.765625,2.765625,0.0,1e-05
80,2.939453125,2.939453125,0.0,1e-05
81,2.76953125,2.76953125,0.0,1e-05
82,2.830078125,2.830078125,0.0,1e-05
83,3.220703125,3.220703125,0.0,1e-05
84,2.904296875,2.904296875,0.0,1e-05
85,3.310546875,3.310546875,0.0,1e-05
86,3.26171875,3.26171875,0.0,1e-05
87,3.41015625,3.41015625,0.0,1e-05
88,2.99609375,2.99609375,0.0,1e-05
89,3.0703125,3.0703125,0.0,1e-05
90,2.998046875,2.998046875,0.0,1e-05
91,3.8125,3.8125,0.0,1e-05
92,2.521484375,2.521484375,0.0,1e-05
93,3.138671875,3.138671875,0.0,1e-05
94,3.150390625,3.150390625,0.0,1e-05
95,3.48046875,3.48046875,0.0,1e-05
96,2.931640625,2.931640625,0.0,1e-05
97,3.068359375,3.068359375,0.0,1e-05
98,3.21484375,3.21484375,0.0,1e-05
99,2.697265625,2.697265625,0.0,1e-05
100,3.275390625,3.275390625,0.0,1e-05
