step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.16796875,3.16796875,0.0,0.001
1,3.080078125,3.080078125,0.0,0.001
2,3.638671875,3.638671875,0.0,0.001
3,3.091796875,3.091796875,0.0,0.001
4,3.314453125,3.314453125,0.0,0.001
5,3.263671875,3.263671875,0.0,0.001
6,3.9296875,3.9296875,0.0,0.001
7,2.896484375,2.896484375,0.0,0.001
8,2.78125,2.78125,0.0,0.001
9,3.41015625,3.41015625,0.0,0.001
10,3.240234375,3.240234375,0.0,0.001
11,3.99609375,3.99609375,0.0,0.001
12,3.34375,3.34375,0.0,0.001
13,2.68359375,2.68359375,0.0,0.001
14,3.20703125,3.20703125,0.0,0.001
15,4.2421875,4.2421875,0.0,0.001
16,2.935546875,2.935546875,0.0,0.001
17,3.103515625,3.103515625,0.0,0.001
18,2.919921875,2.919921875,0.0,0.001
19,2.99609375,2.99609375,0.0,0.001
20,2.669921875,2.669921875,0.0,0.001
21,2.6015625,2.6015625,0.0,0.001
22,2.583984375,2.583984375,0.0,0.001
23,3.052734375,3.052734375,0.0,0.001
24,2.857421875,2.857421875,0.0,0.001
25,2.42578125,2.42578125,0.0,0.001
26,3.1484375,3.1484375,0.0,0.001
27,2.7421875,2.7421875,0.0,0.001
28,3.58203125,3.58203125,0.0,0.001
29,3.0234375,3.0234375,0.0,0.001
30,3.234375,3.234375,0.0,0.001
31,2.958984375,2.958984375,0.0,0.001
32,2.666015625,2.666015625,0.0,0.001
33,3.470703125,3.470703125,0.0,0.001
34,2.900390625,2.900390625,0.0,0.001
35,2.62109375,2.62109375,0.0,0.001
36,2.66796875,2.66796875,0.0,0.001
37,2.771484375,2.771484375,0.0,0.001
38,3.087890625,3.087890625,0.0,0.001
39,2.5859375,2.5859375,0.0,0.001
40,2.8671875,2.8671875,0.0,0.001
41,2.525390625,2.525390625,0.0,0.001
42,2.5546875,2.5546875,0.0,0.001
43,2.5546875,2.5546875,0.0,0.001
44,3.2109375,3.2109375,0.0,0.001
45,2.40625,2.40625,0.0,0.001
46,2.703125,2.703125,0.0,0.001
47,2.50390625,2.50390625,0.0,0.001
48,2.57421875,2.57421875,0.0,0.001
49,2.099609375,2.099609375,0.0,0.001
50,2.75390625,2.75390625,0.0,0.001
51,2.20703125,2.20703125,0.0,0.001
52,2.798828125,2.798828125,0.0,0.001
53,2.068359375,2.068359375,0.0,0.001
54,2.396484375,2.396484375,0.0,0.001
55,2.2734375,2.2734375,0.0,0.001
56,2.501953125,2.501953125,0.0,0.001
57,2.546875,2.546875,0.0,0.001
58,2.32421875,2.32421875,0.0,0.001
59,2.1953125,2.1953125,0.0,0.001
60,2.263671875,2.263671875,0.0,0.001
61,2.341796875,2.341796875,0.0,0.001
62,2.498046875,2.498046875,0.0,0.001
63,2.234375,2.234375,0.0,0.001
64,2.521484375,2.521484375,0.0,0.001
65,2.583984375,2.583984375,0.0,0.001
66,2.619140625,2.619140625,0.0,0.001
67,2.50390625,2.50390625,0.0,0.001
68,1.927734375,1.927734375,0.0,0.001
69,2.30078125,2.30078125,0.0,0.001
70,2.380859375,2.380859375,0.0,0.001
71,2.138671875,2.138671875,0.0,0.001
72,2.62890625,2.62890625,0.0,0.001
73,2.583984375,2.583984375,0.0,0.001
74,1.9755859375,1.9755859375,0.0,0.001
75,2.427734375,2.427734375,0.0,0.001
76,2.146484375,2.146484375,0.0,0.001
77,2.416015625,2.416015625,0.0,0.001
78,2.193359375,2.193359375,0.0,0.001
79,2.046875,2.046875,0.0,0.001
80,2.322265625,2.322265625,0.0,0.001
81,2.142578125,2.142578125,0.0,0.001
82,2.298828125,2.298828125,0.0,0.001
83,2.154296875,2.154296875,0.0,0.001
84,2.181640625,2.181640625,0.0,0.001
85,2.12109375,2.12109375,0.0,0.001
86,2.033203125,2.033203125,0.0,0.001
87,2.287109375,2.287109375,0.0,0.001
88,1.974609375,1.974609375,0.0,0.001
89,2.337890625,2.337890625,0.0,0.001
90,1.9658203125,1.9658203125,0.0,0.001
91,1.7919921875,1.7919921875,0.0,0.001
92,2.53515625,2.53515625,0.0,0.001
93,1.9638671875,1.9638671875,0.0,0.001
94,2.587890625,2.587890625,0.0,0.001
95,2.095703125,2.095703125,0.0,0.001
96,2.326171875,2.326171875,0.0,0.001
97,2.486328125,2.486328125,0.0,0.001
98,1.9345703125,1.9345703125,0.0,0.001
99,1.8544921875,1.8544921875,0.0,0.001
100,2.265625,2.265625,0.0,0.001
