step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,2.97265625,2.97265625,0.0,0.0001
1,2.802734375,2.802734375,0.0,0.0001
2,3.3359375,3.3359375,0.0,0.0001
3,3.607421875,3.607421875,0.0,0.0001
4,3.318359375,3.318359375,0.0,0.0001
5,3.63671875,3.63671875,0.0,0.0001
6,2.939453125,2.939453125,0.0,0.0001
7,3.220703125,3.220703125,0.0,0.0001
8,3.953125,3.953125,0.0,0.0001
9,3.458984375,3.458984375,0.0,0.0001
10,3.1953125,3.1953125,0.0,0.0001
11,3.595703125,3.595703125,0.0,0.0001
12,3.357421875,3.357421875,0.0,0.0001
13,3.81640625,3.81640625,0.0,0.0001
14,3.115234375,3.115234375,0.0,0.0001
15,3.2109375,3.2109375,0.0,0.0001
16,3.009765625,3.009765625,0.0,0.0001
17,3.140625,3.140625,0.0,0.0001
18,3.10546875,3.10546875,0.0,0.0001
19,2.9296875,2.9296875,0.0,0.0001
20,3.345703125,3.345703125,0.0,0.0001
21,3.408203125,3.408203125,0.0,0.0001
22,2.95703125,2.95703125,0.0,0.0001
23,2.787109375,2.787109375,0.0,0.0001
24,3.18359375,3.18359375,0.0,0.0001
25,3.517578125,3.517578125,0.0,0.0001
26,2.884765625,2.884765625,0.0,0.0001
27,3.259765625,3.259765625,0.0,0.0001
28,2.685546875,2.685546875,0.0,0.0001
29,3.15234375,3.15234375,0.0,0.0001
30,3.291015625,3.291015625,0.0,0.0001
31,3.498046875,3.498046875,0.0,0.0001
32,3.34765625,3.34765625,0.0,0.0001
33,2.61328125,2.61328125,0.0,0.0001
34,2.63671875,2.63671875,0.0,0.0001
35,2.70703125,2.70703125,0.0,0.0001
36,2.6640625,2.6640625,0.0,0.0001
37,2.7890625,2.7890625,0.0,0.0001
38,2.498046875,2.498046875,0.0,0.0001
39,2.712890625,2.712890625,0.0,0.0001
40,3.3125,3.3125,0.0,0.0001
41,2.859375,2.859375,0.0,0.0001
42,2.84375,2.84375,0.0,0.0001
43,4.19140625,4.19140625,0.0,0.0001
44,3.470703125,3.470703125,0.0,0.0001
45,3.396484375,3.396484375,0.0,0.0001
46,2.775390625,2.775390625,0.0,0.0001
47,3.431640625,3.431640625,0.0,0.0001
48,3.12109375,3.12109375,0.0,0.0001
49,2.970703125,2.970703125,0.0,0.0001
50,4.5390625,4.5390625,0.0,0.0001
51,3.310546875,3.310546875,0.0,0.0001
52,3.294921875,3.294921875,0.0,0.0001
53,2.806640625,2.806640625,0.0,0.0001
54,2.912109375,2.912109375,0.0,0.0001
55,2.87109375,2.87109375,0.0,0.0001
56,2.46484375,2.46484375,0.0,0.0001
57,2.96875,2.96875,0.0,0.0001
58,3.501953125,3.501953125,0.0,0.0001
59,2.748046875,2.748046875,0.0,0.0001
60,2.42578125,2.42578125,0.0,0.0001
61,3.203125,3.203125,0.0,0.0001
62,3.25390625,3.25390625,0.0,0.0001
63,2.7421875,2.7421875,0.0,0.0001
64,3.390625,3.390625,0.0,0.0001
65,2.771484375,2.771484375,0.0,0.0001
66,3.021484375,3.021484375,0.0,0.0001
67,3.369140625,3.369140625,0.0,0.0001
68,2.42578125,2.42578125,0.0,0.0001
69,2.81640625,2.81640625,0.0,0.0001
70,3.443359375,3.443359375,0.0,0.0001
71,2.865234375,2.865234375,0.0,0.0001
72,2.9296875,2.9296875,0.0,0.0001
73,3.05859375,3.05859375,0.0,0.0001
74,2.947265625,2.947265625,0.0,0.0001
75,3.095703125,3.095703125,0.0,0.0001
76,2.818359375,2.818359375,0.0,0.0001
77,2.921875,2.921875,0.0,0.0001
78,3.111328125,3.111328125,0.0,0.0001
79,3.220703125,3.220703125,0.0,0.0001
80,3.01953125,3.01953125,0.0,0.0001
81,3.279296875,3.279296875,0.0,0.0001
82,2.802734375,2.802734375,0.0,0.0001
83,2.673828125,2.673828125,0.0,0.0001
84,2.40625,2.40625,0.0,0.0001
85,3.09375,3.09375,0.0,0.0001
86,2.935546875,2.935546875,0.0,0.0001
87,3.08984375,3.08984375,0.0,0.0001
88,3.419921875,3.419921875,0.0,0.0001
89,3.126953125,3.126953125,0.0,0.0001
90,2.916015625,2.916015625,0.0,0.0001
91,3.1953125,3.1953125,0.0,0.0001
92,2.408203125,2.408203125,0.0,0.0001
93,2.99609375,2.99609375,0.0,0.0001
94,3.044921875,3.044921875,0.0,0.0001
95,2.564453125,2.564453125,0.0,0.0001
96,3.7890625,3.7890625,0.0,0.0001
97,2.830078125,2.830078125,0.0,0.0001
98,2.974609375,2.974609375,0.0,0.0001
99,2.904296875,2.904296875,0.0,0.0001
100,2.923828125,2.923828125,0.0,0.0001
101,3.208984375,3.208984375,0.0,0.0001
102,3.76953125,3.76953125,0.0,0.0001
103,2.76953125,2.76953125,0.0,0.0001
104,3.26171875,3.26171875,0.0,0.0001
105,2.76171875,2.76171875,0.0,0.0001
106,3.361328125,3.361328125,0.0,0.0001
107,2.7578125,2.7578125,0.0,0.0001
108,2.916015625,2.916015625,0.0,0.0001
109,2.78515625,2.78515625,0.0,0.0001
110,3.34375,3.34375,0.0,0.0001
111,2.677734375,2.677734375,0.0,0.0001
112,2.900390625,2.900390625,0.0,0.0001
113,2.8984375,2.8984375,0.0,0.0001
114,3.31640625,3.31640625,0.0,0.0001
115,3.296875,3.296875,0.0,0.0001
116,2.44921875,2.44921875,0.0,0.0001
117,3.216796875,3.216796875,0.0,0.0001
118,2.54296875,2.54296875,0.0,0.0001
119,2.88671875,2.88671875,0.0,0.0001
120,3.728515625,3.728515625,0.0,0.0001
121,2.92578125,2.92578125,0.0,0.0001
122,2.55078125,2.55078125,0.0,0.0001
123,3.154296875,3.154296875,0.0,0.0001
124,3.40234375,3.40234375,0.0,0.0001
125,2.5234375,2.5234375,0.0,0.0001
126,3.01171875,3.01171875,0.0,0.0001
127,3.6015625,3.6015625,0.0,0.0001
128,2.7890625,2.7890625,0.0,0.0001
129,2.998046875,2.998046875,0.0,0.0001
130,3.052734375,3.052734375,0.0,0.0001
131,3.2734375,3.2734375,0.0,0.0001
132,2.73046875,2.73046875,0.0,0.0001
