step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.470703125,3.470703125,0.0,0.01
1,3.064453125,3.064453125,0.0,0.01
2,3.98828125,3.98828125,0.0,0.01
3,2.814453125,2.814453125,0.0,0.01
4,3.04296875,3.04296875,0.0,0.01
5,2.4609375,2.4609375,0.0,0.01
6,2.919921875,2.919921875,0.0,0.01
7,2.830078125,2.830078125,0.0,0.01
8,2.875,2.875,0.0,0.01
9,2.94140625,2.94140625,0.0,0.01
10,2.69140625,2.69140625,0.0,0.01
11,2.552734375,2.552734375,0.0,0.01
12,2.51171875,2.51171875,0.0,0.01
13,2.951171875,2.951171875,0.0,0.01
14,2.734375,2.734375,0.0,0.01
15,3.265625,3.265625,0.0,0.01
16,3.52734375,3.52734375,0.0,0.01
17,2.8359375,2.8359375,0.0,0.01
18,3.287109375,3.287109375,0.0,0.01
19,3.01953125,3.01953125,0.0,0.01
20,3.125,3.125,0.0,0.01
21,2.69921875,2.69921875,0.0,0.01
22,2.408203125,2.408203125,0.0,0.01
23,2.501953125,2.501953125,0.0,0.01
24,3.326171875,3.326171875,0.0,0.01
25,2.87890625,2.87890625,0.0,0.01
26,2.541015625,2.541015625,0.0,0.01
27,2.259765625,2.259765625,0.0,0.01
28,2.333984375,2.333984375,0.0,0.01
29,2.279296875,2.279296875,0.0,0.01
30,2.853515625,2.853515625,0.0,0.01
31,2.5703125,2.5703125,0.0,0.01
32,3.140625,3.140625,0.0,0.01
33,2.638671875,2.638671875,0.0,0.01
34,2.29296875,2.29296875,0.0,0.01
35,2.966796875,2.966796875,0.0,0.01
36,2.658203125,2.658203125,0.0,0.01
37,2.853515625,2.853515625,0.0,0.01
38,2.052734375,2.052734375,0.0,0.01
39,2.994140625,2.994140625,0.0,0.01
40,2.234375,2.234375,0.0,0.01
41,2.552734375,2.552734375,0.0,0.01
42,2.142578125,2.142578125,0.0,0.01
43,2.451171875,2.451171875,0.0,0.01
44,2.033203125,2.033203125,0.0,0.01
45,2.166015625,2.166015625,0.0,0.01
46,2.169921875,2.169921875,0.0,0.01
47,2.017578125,2.017578125,0.0,0.01
48,1.998046875,1.998046875,0.0,0.01
49,2.349609375,2.349609375,0.0,0.01
50,2.435546875,2.435546875,0.0,0.01
51,2.228515625,2.228515625,0.0,0.01
52,2.40625,2.40625,0.0,0.01
53,2.5390625,2.5390625,0.0,0.01
54,2.94921875,2.94921875,0.0,0.01
55,2.251953125,2.251953125,0.0,0.01
56,2.21484375,2.21484375,0.0,0.01
57,2.26953125,2.26953125,0.0,0.01
58,2.21484375,2.21484375,0.0,0.01
59,2.23046875,2.23046875,0.0,0.01
60,2.25390625,2.25390625,0.0,0.01
61,2.302734375,2.302734375,0.0,0.01
62,2.232421875,2.232421875,0.0,0.01
63,2.0703125,2.0703125,0.0,0.01
64,2.08984375,2.08984375,0.0,0.01
65,2.029296875,2.029296875,0.0,0.01
66,2.18359375,2.18359375,0.0,0.01
67,2.115234375,2.115234375,0.0,0.01
68,2.6796875,2.6796875,0.0,0.01
69,2.189453125,2.189453125,0.0,0.01
70,2.2734375,2.2734375,0.0,0.01
71,2.412109375,2.412109375,0.0,0.01
72,2.02734375,2.02734375,0.0,0.01
73,2.234375,2.234375,0.0,0.01
74,2.22265625,2.22265625,0.0,0.01
75,1.9912109375,1.9912109375,0.0,0.01
76,2.14453125,2.14453125,0.0,0.01
77,2.142578125,2.142578125,0.0,0.01
78,1.71484375,1.71484375,0.0,0.01
79,1.8408203125,1.8408203125,0.0,0.01
80,1.6640625,1.6640625,0.0,0.01
81,2.03515625,2.03515625,0.0,0.01
82,2.05859375,2.05859375,0.0,0.01
83,2.365234375,2.365234375,0.0,0.01
84,1.9208984375,1.9208984375,0.0,0.01
85,2.333984375,2.333984375,0.0,0.01
86,1.8466796875,1.8466796875,0.0,0.01
87,1.8134765625,1.8134765625,0.0,0.01
88,2.298828125,2.298828125,0.0,0.01
89,1.7060546875,1.7060546875,0.0,0.01
