step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.3984375,3.3984375,0.0,0.001
1,2.890625,2.890625,0.0,0.001
2,3.6796875,3.6796875,0.0,0.001
3,3.98828125,3.98828125,0.0,0.001
4,3.5,3.5,0.0,0.001
5,3.091796875,3.091796875,0.0,0.001
6,2.935546875,2.935546875,0.0,0.001
7,3.025390625,3.025390625,0.0,0.001
8,3.419921875,3.419921875,0.0,0.001
9,3.3203125,3.3203125,0.0,0.001
10,3.03515625,3.03515625,0.0,0.001
11,2.90234375,2.90234375,0.0,0.001
12,2.80078125,2.80078125,0.0,0.001
13,3.7578125,3.7578125,0.0,0.001
14,3.068359375,3.068359375,0.0,0.001
15,2.765625,2.765625,0.0,0.001
16,2.53125,2.53125,0.0,0.001
17,2.97265625,2.97265625,0.0,0.001
18,2.728515625,2.728515625,0.0,0.001
19,2.6328125,2.6328125,0.0,0.001
20,2.947265625,2.947265625,0.0,0.001
21,2.98828125,2.98828125,0.0,0.001
22,2.876953125,2.876953125,0.0,0.001
23,2.955078125,2.955078125,0.0,0.001
24,2.72265625,2.72265625,0.0,0.001
25,2.75390625,2.75390625,0.0,0.001
26,2.8203125,2.8203125,0.0,0.001
27,3.30078125,3.30078125,0.0,0.001
28,3.083984375,3.083984375,0.0,0.001
29,2.83203125,2.83203125,0.0,0.001
30,2.640625,2.640625,0.0,0.001
31,3.109375,3.109375,0.0,0.001
32,3.080078125,3.080078125,0.0,0.001
33,2.318359375,2.318359375,0.0,0.001
34,2.490234375,2.490234375,0.0,0.001
35,2.58203125,2.58203125,0.0,0.001
36,2.435546875,2.435546875,0.0,0.001
37,2.65625,2.65625,0.0,0.001
38,2.490234375,2.490234375,0.0,0.001
39,2.20703125,2.20703125,0.0,0.001
40,2.48828125,2.48828125,0.0,0.001
41,2.498046875,2.498046875,0.0,0.001
42,2.625,2.625,0.0,0.001
43,2.578125,2.578125,0.0,0.001
44,2.46875,2.46875,0.0,0.001
45,2.708984375,2.708984375,0.0,0.001
46,2.44921875,2.44921875,0.0,0.001
47,2.021484375,2.021484375,0.0,0.001
48,2.005859375,2.005859375,0.0,0.001
49,2.3359375,2.3359375,0.0,0.001
50,2.3984375,2.3984375,0.0,0.001
51,2.181640625,2.181640625,0.0,0.001
52,2.376953125,2.376953125,0.0,0.001
53,2.29296875,2.29296875,0.0,0.001
54,1.9052734375,1.9052734375,0.0,0.001
55,2.44921875,2.44921875,0.0,0.001
56,2.5859375,2.5859375,0.0,0.001
57,2.0390625,2.0390625,0.0,0.001
58,2.267578125,2.267578125,0.0,0.001
59,1.80859375,1.80859375,0.0,0.001
60,2.806640625,2.806640625,0.0,0.001
61,2.48046875,2.48046875,0.0,0.001
62,2.283203125,2.283203125,0.0,0.001
63,1.9345703125,1.9345703125,0.0,0.001
64,2.24609375,2.24609375,0.0,0.001
65,2.2421875,2.2421875,0.0,0.001
66,2.484375,2.484375,0.0,0.001
67,2.46484375,2.46484375,0.0,0.001
68,2.30078125,2.30078125,0.0,0.001
69,2.505859375,2.505859375,0.0,0.001
70,1.9638671875,1.9638671875,0.0,0.001
71,2.740234375,2.740234375,0.0,0.001
72,2.044921875,2.044921875,0.0,0.001
73,2.12109375,2.12109375,0.0,0.001
74,2.15625,2.15625,0.0,0.001
75,1.8115234375,1.8115234375,0.0,0.001
76,1.9287109375,1.9287109375,0.0,0.001
77,2.015625,2.015625,0.0,0.001
78,2.333984375,2.333984375,0.0,0.001
79,2.009765625,2.009765625,0.0,0.001
80,2.27734375,2.27734375,0.0,0.001
81,2.068359375,2.068359375,0.0,0.001
82,1.9541015625,1.9541015625,0.0,0.001
83,2.189453125,2.189453125,0.0,0.001
84,2.603515625,2.603515625,0.0,0.001
85,2.568359375,2.568359375,0.0,0.001
86,2.81640625,2.81640625,0.0,0.001
87,1.94140625,1.94140625,0.0,0.001
88,2.376953125,2.376953125,0.0,0.001
89,2.25390625,2.25390625,0.0,0.001
90,2.048828125,2.048828125,0.0,0.001
91,1.888671875,1.888671875,0.0,0.001
92,2.443359375,2.443359375,0.0,0.001
93,2.22265625,2.22265625,0.0,0.001
94,1.9248046875,1.9248046875,0.0,0.001
95,1.9375,1.9375,0.0,0.001
96,2.57421875,2.57421875,0.0,0.001
97,2.236328125,2.236328125,0.0,0.001
98,1.8212890625,1.8212890625,0.0,0.001
99,2.34765625,2.34765625,0.0,0.001
100,2.07421875,2.07421875,0.0,0.001
