step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,4.7109375,4.7109375,0.0,1e-05
1,3.724609375,3.724609375,0.0,1e-05
2,3.484375,3.484375,0.0,1e-05
3,3.46875,3.46875,0.0,1e-05
4,3.90625,3.90625,0.0,1e-05
5,3.431640625,3.431640625,0.0,1e-05
6,3.580078125,3.580078125,0.0,1e-05
7,3.6015625,3.6015625,0.0,1e-05
8,3.623046875,3.623046875,0.0,1e-05
9,3.703125,3.703125,0.0,1e-05
10,3.640625,3.640625,0.0,1e-05
11,3.150390625,3.150390625,0.0,1e-05
12,3.6953125,3.6953125,0.0,1e-05
13,3.66015625,3.66015625,0.0,1e-05
14,3.572265625,3.572265625,0.0,1e-05
15,3.05859375,3.05859375,0.0,1e-05
16,3.67578125,3.67578125,0.0,1e-05
17,4.09375,4.09375,0.0,1e-05
18,3.81640625,3.81640625,0.0,1e-05
19,3.927734375,3.927734375,0.0,1e-05
20,3.20703125,3.20703125,0.0,1e-05
21,3.6015625,3.6015625,0.0,1e-05
22,3.810546875,3.810546875,0.0,1e-05
23,4.2421875,4.2421875,0.0,1e-05
24,4.125,4.125,0.0,1e-05
25,3.623046875,3.623046875,0.0,1e-05
26,3.447265625,3.447265625,0.0,1e-05
27,3.35546875,3.35546875,0.0,1e-05
28,2.73046875,2.73046875,0.0,1e-05
29,3.904296875,3.904296875,0.0,1e-05
30,3.27734375,3.27734375,0.0,1e-05
31,3.734375,3.734375,0.0,1e-05
32,3.63671875,3.63671875,0.0,1e-05
33,3.02734375,3.02734375,0.0,1e-05
34,3.03515625,3.03515625,0.0,1e-05
35,3.42578125,3.42578125,0.0,1e-05
36,3.240234375,3.240234375,0.0,1e-05
37,3.181640625,3.181640625,0.0,1e-05
38,3.56640625,3.56640625,0.0,1e-05
39,3.15234375,3.15234375,0.0,1e-05
40,3.8203125,3.8203125,0.0,1e-05
41,3.51171875,3.51171875,0.0,1e-05
42,3.603515625,3.603515625,0.0,1e-05
43,3.36328125,3.36328125,0.0,1e-05
44,3.49609375,3.49609375,0.0,1e-05
45,3.009765625,3.009765625,0.0,1e-05
46,3.869140625,3.869140625,0.0,1e-05
47,3.548828125,3.548828125,0.0,1e-05
48,3.01171875,3.01171875,0.0,1e-05
49,2.90625,2.90625,0.0,1e-05
50,3.390625,3.390625,0.0,1e-05
51,3.564453125,3.564453125,0.0,1e-05
52,3.333984375,3.333984375,0.0,1e-05
53,3.07421875,3.07421875,0.0,1e-05
54,2.84375,2.84375,0.0,1e-05
55,2.982421875,2.982421875,0.0,1e-05
56,3.11328125,3.11328125,0.0,1e-05
57,2.58984375,2.58984375,0.0,1e-05
58,2.919921875,2.919921875,0.0,1e-05
59,3.7109375,3.7109375,0.0,1e-05
60,3.380859375,3.380859375,0.0,1e-05
61,2.8984375,2.8984375,0.0,1e-05
62,3.63671875,3.63671875,0.0,1e-05
63,3.27734375,3.27734375,0.0,1e-05
64,3.015625,3.015625,0.0,1e-05
65,3.146484375,3.146484375,0.0,1e-05
66,3.728515625,3.728515625,0.0,1e-05
67,3.552734375,3.552734375,0.0,1e-05
68,3.51171875,3.51171875,0.0,1e-05
69,3.69140625,3.69140625,0.0,1e-05
70,3.404296875,3.404296875,0.0,1e-05
71,3.10546875,3.10546875,0.0,1e-05
72,3.56640625,3.56640625,0.0,1e-05
73,3.708984375,3.708984375,0.0,1e-05
74,3.591796875,3.591796875,0.0,1e-05
75,3.38671875,3.38671875,0.0,1e-05
76,3.291015625,3.291015625,0.0,1e-05
77,3.83203125,3.83203125,0.0,1e-05
78,3.216796875,3.216796875,0.0,1e-05
79,2.69140625,2.69140625,0.0,1e-05
80,2.96875,2.96875,0.0,1e-05
81,3.654296875,3.654296875,0.0,1e-05
82,3.00390625,3.00390625,0.0,1e-05
83,3.3515625,3.3515625,0.0,1e-05
84,3.392578125,3.392578125,0.0,1e-05
85,2.92578125,2.92578125,0.0,1e-05
86,2.896484375,2.896484375,0.0,1e-05
87,3.685546875,3.685546875,0.0,1e-05
88,3.2734375,3.2734375,0.0,1e-05
89,3.123046875,3.123046875,0.0,1e-05
90,3.03515625,3.03515625,0.0,1e-05
91,2.400390625,2.400390625,0.0,1e-05
92,3.0703125,3.0703125,0.0,1e-05
93,3.181640625,3.181640625,0.0,1e-05
94,2.6328125,2.6328125,0.0,1e-05
95,3.587890625,3.587890625,0.0,1e-05
96,3.375,3.375,0.0,1e-05
97,3.26171875,3.26171875,0.0,1e-05
98,2.6484375,2.6484375,0.0,1e-05
99,2.98828125,2.98828125,0.0,1e-05
100,3.017578125,3.017578125,0.0,1e-05
101,3.232421875,3.232421875,0.0,1e-05
102,3.21875,3.21875,0.0,1e-05
103,3.18359375,3.18359375,0.0,1e-05
104,3.248046875,3.248046875,0.0,1e-05
105,2.955078125,2.955078125,0.0,1e-05
106,3.072265625,3.072265625,0.0,1e-05
107,3.302734375,3.302734375,0.0,1e-05
108,3.306640625,3.306640625,0.0,1e-05
109,3.44140625,3.44140625,0.0,1e-05
110,2.7734375,2.7734375,0.0,1e-05
111,2.904296875,2.904296875,0.0,1e-05
112,3.375,3.375,0.0,1e-05
113,3.072265625,3.072265625,0.0,1e-05
114,3.6015625,3.6015625,0.0,1e-05
115,3.57421875,3.57421875,0.0,1e-05
116,2.755859375,2.755859375,0.0,1e-05
117,3.240234375,3.240234375,0.0,1e-05
118,4.07421875,4.07421875,0.0,1e-05
119,3.291015625,3.291015625,0.0,1e-05
120,2.732421875,2.732421875,0.0,1e-05
121,3.21484375,3.21484375,0.0,1e-05
122,2.796875,2.796875,0.0,1e-05
123,3.306640625,3.306640625,0.0,1e-05
124,2.986328125,2.986328125,0.0,1e-05
125,3.25390625,3.25390625,0.0,1e-05
126,3.189453125,3.189453125,0.0,1e-05
127,2.720703125,2.720703125,0.0,1e-05
128,2.8828125,2.8828125,0.0,1e-05
129,2.896484375,2.896484375,0.0,1e-05
130,2.908203125,2.908203125,0.0,1e-05
131,3.41015625,3.41015625,0.0,1e-05
132,3.92578125,3.92578125,0.0,1e-05
133,3.63671875,3.63671875,0.0,1e-05
134,2.83984375,2.83984375,0.0,1e-05
135,2.931640625,2.931640625,0.0,1e-05
136,3.482421875,3.482421875,0.0,1e-05
137,2.884765625,2.884765625,0.0,1e-05
138,2.91796875,2.91796875,0.0,1e-05
139,3.091796875,3.091796875,0.0,1e-05
140,3.63671875,3.63671875,0.0,1e-05
141,3.05859375,3.05859375,0.0,1e-05
142,3.306640625,3.306640625,0.0,1e-05
143,2.958984375,2.958984375,0.0,1e-05
144,3.767578125,3.767578125,0.0,1e-05
145,2.654296875,2.654296875,0.0,1e-05
146,2.7734375,2.7734375,0.0,1e-05
147,3.3125,3.3125,0.0,1e-05
148,2.994140625,2.994140625,0.0,1e-05
149,2.421875,2.421875,0.0,1e-05
150,3.599609375,3.599609375,0.0,1e-05
151,2.6171875,2.6171875,0.0,1e-05
152,3.68359375,3.68359375,0.0,1e-05
153,2.615234375,2.615234375,0.0,1e-05
154,2.923828125,2.923828125,0.0,1e-05
155,3.599609375,3.599609375,0.0,1e-05
156,2.78515625,2.78515625,0.0,1e-05
157,2.966796875,2.966796875,0.0,1e-05
158,4.0390625,4.0390625,0.0,1e-05
159,2.736328125,2.736328125,0.0,1e-05
160,3.0859375,3.0859375,0.0,1e-05
161,3.04296875,3.04296875,0.0,1e-05
162,4.26171875,4.26171875,0.0,1e-05
163,3.47265625,3.47265625,0.0,1e-05
164,2.958984375,2.958984375,0.0,1e-05
165,2.947265625,2.947265625,0.0,1e-05
166,3.064453125,3.064453125,0.0,1e-05
167,2.75390625,2.75390625,0.0,1e-05
168,2.888671875,2.888671875,0.0,1e-05
169,2.861328125,2.861328125,0.0,1e-05
170,3.005859375,3.005859375,0.0,1e-05
171,2.330078125,2.330078125,0.0,1e-05
172,2.849609375,2.849609375,0.0,1e-05
173,3.345703125,3.345703125,0.0,1e-05
174,2.556640625,2.556640625,0.0,1e-05
175,3.09375,3.09375,0.0,1e-05
176,2.7734375,2.7734375,0.0,1e-05
177,3.044921875,3.044921875,0.0,1e-05
178,3.044921875,3.044921875,0.0,1e-05
179,2.71484375,2.71484375,0.0,1e-05
180,2.697265625,2.697265625,0.0,1e-05
181,3.37109375,3.37109375,0.0,1e-05
182,2.501953125,2.501953125,0.0,1e-05
183,2.88671875,2.88671875,0.0,1e-05
184,3.099609375,3.099609375,0.0,1e-05
185,3.474609375,3.474609375,0.0,1e-05
186,2.94140625,2.94140625,0.0,1e-05
187,3.140625,3.140625,0.0,1e-05
188,3.455078125,3.455078125,0.0,1e-05
189,2.900390625,2.900390625,0.0,1e-05
190,2.638671875,2.638671875,0.0,1e-05
191,4.09765625,4.09765625,0.0,1e-05
192,3.189453125,3.189453125,0.0,1e-05
193,2.7265625,2.7265625,0.0,1e-05
194,2.595703125,2.595703125,0.0,1e-05
195,3.107421875,3.107421875,0.0,1e-05
196,2.779296875,2.779296875,0.0,1e-05
197,3.298828125,3.298828125,0.0,1e-05
198,3.224609375,3.224609375,0.0,1e-05
199,2.333984375,2.333984375,0.0,1e-05
200,3.31640625,3.31640625,0.0,1e-05
201,2.60546875,2.60546875,0.0,1e-05
202,2.509765625,2.509765625,0.0,1e-05
203,2.853515625,2.853515625,0.0,1e-05
204,3.701171875,3.701171875,0.0,1e-05
205,2.98828125,2.98828125,0.0,1e-05
206,3.251953125,3.251953125,0.0,1e-05
207,2.51171875,2.51171875,0.0,1e-05
208,2.568359375,2.568359375,0.0,1e-05
209,3.009765625,3.009765625,0.0,1e-05
210,3.04296875,3.04296875,0.0,1e-05
211,2.45703125,2.45703125,0.0,1e-05
212,3.31640625,3.31640625,0.0,1e-05
213,3.580078125,3.580078125,0.0,1e-05
214,2.451171875,2.451171875,0.0,1e-05
215,2.90625,2.90625,0.0,1e-05
216,3.369140625,3.369140625,0.0,1e-05
217,3.705078125,3.705078125,0.0,1e-05
218,3.203125,3.203125,0.0,1e-05
219,2.994140625,2.994140625,0.0,1e-05
220,2.716796875,2.716796875,0.0,1e-05
221,2.705078125,2.705078125,0.0,1e-05
222,2.958984375,2.958984375,0.0,1e-05
223,3.009765625,3.009765625,0.0,1e-05
