step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.470703125,3.470703125,0.0,0.01
1,5590890.0171204265,4.09375,5590885.9233704265,0.01
2,3925103.2607846144,4.28125,3925098.9795346144,0.01
3,3477343.0887956917,3.779296875,3477339.3094988167,0.01
4,3604668.1502530756,4.63671875,3604663.5135343256,0.01
5,3457487.569696014,4.10546875,3457483.464227264,0.01
6,3205164.336047451,4.24609375,3205160.089953701,0.01
7,2899736.928895476,4.3984375,2899732.530457976,0.01
8,2692029.8628805378,3.296875,2692026.5660055378,0.01
9,2527101.2081520804,3.630859375,2527097.5772927054,0.01
10,2407508.8018749887,3.947265625,2407504.8546093637,0.01
11,2300175.857708658,3.314453125,2300172.543255533,0.01
12,2205519.435301928,3.73828125,2205515.697020678,0.01
13,2114819.6243201094,3.43359375,2114816.1907263594,0.01
14,2024970.0135936248,4.2578125,2024965.7557811248,0.01
15,1940155.2326973723,3.36328125,1940151.8694161223,0.01
16,1858250.671002271,4.0234375,1858246.647564771,0.01
17,1792052.7039333917,3.79296875,1792048.9109646417,0.01
18,1727003.6015496294,3.658203125,1726999.9433465044,0.01
19,1679175.6596881975,3.26953125,1679172.3901569475,0.01
20,1630168.1754268676,3.216796875,1630164.9586299926,0.01
21,1598656.2931185737,4.3984375,1598651.8946810737,0.01
22,1561436.7196424557,4.0078125,1561432.7118299557,0.01
23,1528585.4806699795,3.80859375,1528581.6720762295,0.01
24,1485330.5724262442,3.861328125,1485326.7110981192,0.01
25,1455625.6234496476,4.40625,1455621.2171996476,0.01
26,1429301.2149656594,4.1875,1429297.0274656594,0.01
27,1414524.5732494816,4.39453125,1414520.1787182316,0.01
28,1393132.4930786307,3.74609375,1393128.7469848807,0.01
29,1377866.6757519478,4.02734375,1377862.6484081978,0.01
30,1351077.2362125819,3.904296875,1351073.3319157069,0.01
31,1338025.6514660371,4.34375,1338021.3077160371,0.01
32,1320465.9607321986,3.5625,1320462.3982321986,0.01
33,1320276.0068198792,3.955078125,1320272.0517417542,0.01
34,1307802.2158559086,3.400390625,1307798.8154652836,0.01
35,1299540.7116526992,4.4140625,1299536.2975901992,0.01
