step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,2.705078125,2.705078125,0.0,0.0001
1,3.0234375,3.0234375,0.0,0.0001
2,3.494140625,3.494140625,0.0,0.0001
3,3.205078125,3.205078125,0.0,0.0001
4,3.654296875,3.654296875,0.0,0.0001
5,3.8125,3.8125,0.0,0.0001
6,3.21875,3.21875,0.0,0.0001
7,3.16796875,3.16796875,0.0,0.0001
8,3.59765625,3.59765625,0.0,0.0001
9,3.5078125,3.5078125,0.0,0.0001
10,4.0,4.0,0.0,0.0001
11,3.33984375,3.33984375,0.0,0.0001
12,3.04296875,3.04296875,0.0,0.0001
13,3.40234375,3.40234375,0.0,0.0001
14,2.919921875,2.919921875,0.0,0.0001
15,2.59765625,2.59765625,0.0,0.0001
16,4.2109375,4.2109375,0.0,0.0001
17,3.48828125,3.48828125,0.0,0.0001
18,3.408203125,3.408203125,0.0,0.0001
19,3.453125,3.453125,0.0,0.0001
20,3.626953125,3.626953125,0.0,0.0001
21,3.76171875,3.76171875,0.0,0.0001
22,3.599609375,3.599609375,0.0,0.0001
23,3.291015625,3.291015625,0.0,0.0001
24,3.5703125,3.5703125,0.0,0.0001
25,3.498046875,3.498046875,0.0,0.0001
26,3.1015625,3.1015625,0.0,0.0001
27,2.943359375,2.943359375,0.0,0.0001
28,3.736328125,3.736328125,0.0,0.0001
29,3.498046875,3.498046875,0.0,0.0001
30,2.994140625,2.994140625,0.0,0.0001
31,3.857421875,3.857421875,0.0,0.0001
32,3.689453125,3.689453125,0.0,0.0001
33,2.962890625,2.962890625,0.0,0.0001
34,3.525390625,3.525390625,0.0,0.0001
35,3.1171875,3.1171875,0.0,0.0001
36,2.857421875,2.857421875,0.0,0.0001
37,3.669921875,3.669921875,0.0,0.0001
38,3.64453125,3.64453125,0.0,0.0001
39,3.568359375,3.568359375,0.0,0.0001
40,3.75,3.75,0.0,0.0001
41,3.337890625,3.337890625,0.0,0.0001
42,3.466796875,3.466796875,0.0,0.0001
43,3.796875,3.796875,0.0,0.0001
44,3.8046875,3.8046875,0.0,0.0001
45,3.2734375,3.2734375,0.0,0.0001
46,2.880859375,2.880859375,0.0,0.0001
47,3.79296875,3.79296875,0.0,0.0001
48,3.78125,3.78125,0.0,0.0001
49,4.55859375,4.55859375,0.0,0.0001
50,3.341796875,3.341796875,0.0,0.0001
51,3.49609375,3.49609375,0.0,0.0001
52,3.9453125,3.9453125,0.0,0.0001
53,3.6328125,3.6328125,0.0,0.0001
54,3.84765625,3.84765625,0.0,0.0001
55,3.396484375,3.396484375,0.0,0.0001
56,3.578125,3.578125,0.0,0.0001
57,2.85546875,2.85546875,0.0,0.0001
58,4.23046875,4.23046875,0.0,0.0001
59,3.10546875,3.10546875,0.0,0.0001
60,3.94921875,3.94921875,0.0,0.0001
61,3.431640625,3.431640625,0.0,0.0001
62,3.53515625,3.53515625,0.0,0.0001
63,2.767578125,2.767578125,0.0,0.0001
64,4.515625,4.515625,0.0,0.0001
65,3.513671875,3.513671875,0.0,0.0001
66,3.185546875,3.185546875,0.0,0.0001
67,3.544921875,3.544921875,0.0,0.0001
68,3.189453125,3.189453125,0.0,0.0001
69,4.03125,4.03125,0.0,0.0001
70,3.130859375,3.130859375,0.0,0.0001
71,3.501953125,3.501953125,0.0,0.0001
72,4.05078125,4.05078125,0.0,0.0001
73,3.525390625,3.525390625,0.0,0.0001
74,3.248046875,3.248046875,0.0,0.0001
75,3.23046875,3.23046875,0.0,0.0001
76,3.1171875,3.1171875,0.0,0.0001
77,3.314453125,3.314453125,0.0,0.0001
78,4.140625,4.140625,0.0,0.0001
79,2.908203125,2.908203125,0.0,0.0001
80,4.109375,4.109375,0.0,0.0001
81,3.03515625,3.03515625,0.0,0.0001
82,3.365234375,3.365234375,0.0,0.0001
83,3.3515625,3.3515625,0.0,0.0001
84,3.701171875,3.701171875,0.0,0.0001
85,3.388671875,3.388671875,0.0,0.0001
86,3.357421875,3.357421875,0.0,0.0001
87,3.65625,3.65625,0.0,0.0001
88,3.04296875,3.04296875,0.0,0.0001
89,3.279296875,3.279296875,0.0,0.0001
90,3.56640625,3.56640625,0.0,0.0001
91,3.94140625,3.94140625,0.0,0.0001
92,3.62890625,3.62890625,0.0,0.0001
93,3.89453125,3.89453125,0.0,0.0001
94,3.361328125,3.361328125,0.0,0.0001
95,3.552734375,3.552734375,0.0,0.0001
96,2.923828125,2.923828125,0.0,0.0001
97,3.86328125,3.86328125,0.0,0.0001
98,3.455078125,3.455078125,0.0,0.0001
99,4.171875,4.171875,0.0,0.0001
100,3.44921875,3.44921875,0.0,0.0001
101,3.37109375,3.37109375,0.0,0.0001
102,3.6015625,3.6015625,0.0,0.0001
103,3.650390625,3.650390625,0.0,0.0001
104,3.193359375,3.193359375,0.0,0.0001
105,2.96875,2.96875,0.0,0.0001
106,2.92578125,2.92578125,0.0,0.0001
107,3.373046875,3.373046875,0.0,0.0001
108,2.93359375,2.93359375,0.0,0.0001
109,3.080078125,3.080078125,0.0,0.0001
110,3.66015625,3.66015625,0.0,0.0001
111,3.6953125,3.6953125,0.0,0.0001
112,2.724609375,2.724609375,0.0,0.0001
113,3.623046875,3.623046875,0.0,0.0001
114,4.0078125,4.0078125,0.0,0.0001
115,3.25390625,3.25390625,0.0,0.0001
116,3.53515625,3.53515625,0.0,0.0001
117,3.865234375,3.865234375,0.0,0.0001
118,3.673828125,3.673828125,0.0,0.0001
119,3.404296875,3.404296875,0.0,0.0001
120,3.4296875,3.4296875,0.0,0.0001
121,3.1484375,3.1484375,0.0,0.0001
122,2.80078125,2.80078125,0.0,0.0001
123,3.43359375,3.43359375,0.0,0.0001
124,3.349609375,3.349609375,0.0,0.0001
125,2.759765625,2.759765625,0.0,0.0001
126,4.203125,4.203125,0.0,0.0001
127,3.39453125,3.39453125,0.0,0.0001
128,2.90234375,2.90234375,0.0,0.0001
129,3.55859375,3.55859375,0.0,0.0001
130,3.298828125,3.298828125,0.0,0.0001
131,4.47265625,4.47265625,0.0,0.0001
132,4.1875,4.1875,0.0,0.0001
133,3.751953125,3.751953125,0.0,0.0001
134,3.97265625,3.97265625,0.0,0.0001
135,3.341796875,3.341796875,0.0,0.0001
136,3.06640625,3.06640625,0.0,0.0001
137,3.427734375,3.427734375,0.0,0.0001
138,4.16015625,4.16015625,0.0,0.0001
