step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.2578125,3.2578125,0.0,1e-05
1,3.22265625,3.22265625,0.0,1e-05
2,2.90234375,2.90234375,0.0,1e-05
3,3.103515625,3.103515625,0.0,1e-05
4,3.59765625,3.59765625,0.0,1e-05
5,3.208984375,3.208984375,0.0,1e-05
6,3.359375,3.359375,0.0,1e-05
7,3.271484375,3.271484375,0.0,1e-05
8,3.443359375,3.443359375,0.0,1e-05
9,3.787109375,3.787109375,0.0,1e-05
10,3.66796875,3.66796875,0.0,1e-05
11,2.681640625,2.681640625,0.0,1e-05
12,3.962890625,3.962890625,0.0,1e-05
13,3.375,3.375,0.0,1e-05
14,3.48046875,3.48046875,0.0,1e-05
15,2.953125,2.953125,0.0,1e-05
16,3.572265625,3.572265625,0.0,1e-05
17,3.126953125,3.126953125,0.0,1e-05
18,3.447265625,3.447265625,0.0,1e-05
19,3.25390625,3.25390625,0.0,1e-05
20,3.744140625,3.744140625,0.0,1e-05
21,3.220703125,3.220703125,0.0,1e-05
22,2.802734375,2.802734375,0.0,1e-05
23,3.341796875,3.341796875,0.0,1e-05
24,3.701171875,3.701171875,0.0,1e-05
25,3.1875,3.1875,0.0,1e-05
26,2.98046875,2.98046875,0.0,1e-05
27,2.984375,2.984375,0.0,1e-05
28,3.0703125,3.0703125,0.0,1e-05
29,3.30078125,3.30078125,0.0,1e-05
30,3.84765625,3.84765625,0.0,1e-05
31,3.64453125,3.64453125,0.0,1e-05
32,2.8046875,2.8046875,0.0,1e-05
33,3.1328125,3.1328125,0.0,1e-05
34,3.404296875,3.404296875,0.0,1e-05
35,3.375,3.375,0.0,1e-05
36,3.380859375,3.380859375,0.0,1e-05
37,3.470703125,3.470703125,0.0,1e-05
38,3.005859375,3.005859375,0.0,1e-05
39,3.44921875,3.44921875,0.0,1e-05
40,3.734375,3.734375,0.0,1e-05
41,3.703125,3.703125,0.0,1e-05
42,3.158203125,3.158203125,0.0,1e-05
43,3.080078125,3.080078125,0.0,1e-05
44,2.796875,2.796875,0.0,1e-05
45,3.697265625,3.697265625,0.0,1e-05
46,2.55078125,2.55078125,0.0,1e-05
47,3.888671875,3.888671875,0.0,1e-05
48,3.73046875,3.73046875,0.0,1e-05
49,4.58984375,4.58984375,0.0,1e-05
50,3.23828125,3.23828125,0.0,1e-05
51,2.943359375,2.943359375,0.0,1e-05
52,2.92578125,2.92578125,0.0,1e-05
53,3.103515625,3.103515625,0.0,1e-05
54,3.259765625,3.259765625,0.0,1e-05
55,3.412109375,3.412109375,0.0,1e-05
56,3.201171875,3.201171875,0.0,1e-05
57,3.537109375,3.537109375,0.0,1e-05
58,2.8359375,2.8359375,0.0,1e-05
59,3.5078125,3.5078125,0.0,1e-05
60,3.65234375,3.65234375,0.0,1e-05
61,2.703125,2.703125,0.0,1e-05
62,3.705078125,3.705078125,0.0,1e-05
63,3.8203125,3.8203125,0.0,1e-05
64,3.580078125,3.580078125,0.0,1e-05
65,2.736328125,2.736328125,0.0,1e-05
66,3.4296875,3.4296875,0.0,1e-05
67,3.92578125,3.92578125,0.0,1e-05
68,3.876953125,3.876953125,0.0,1e-05
69,3.1328125,3.1328125,0.0,1e-05
70,3.357421875,3.357421875,0.0,1e-05
71,3.705078125,3.705078125,0.0,1e-05
72,3.048828125,3.048828125,0.0,1e-05
73,3.142578125,3.142578125,0.0,1e-05
74,3.845703125,3.845703125,0.0,1e-05
75,3.421875,3.421875,0.0,1e-05
76,3.904296875,3.904296875,0.0,1e-05
77,4.08203125,4.08203125,0.0,1e-05
78,3.162109375,3.162109375,0.0,1e-05
79,3.21875,3.21875,0.0,1e-05
80,3.158203125,3.158203125,0.0,1e-05
81,3.32421875,3.32421875,0.0,1e-05
82,3.88671875,3.88671875,0.0,1e-05
83,4.01953125,4.01953125,0.0,1e-05
84,3.66796875,3.66796875,0.0,1e-05
85,3.4765625,3.4765625,0.0,1e-05
86,3.91015625,3.91015625,0.0,1e-05
87,2.8359375,2.8359375,0.0,1e-05
88,3.12890625,3.12890625,0.0,1e-05
89,3.21875,3.21875,0.0,1e-05
90,3.078125,3.078125,0.0,1e-05
91,3.7109375,3.7109375,0.0,1e-05
92,3.2421875,3.2421875,0.0,1e-05
93,4.00390625,4.00390625,0.0,1e-05
94,3.427734375,3.427734375,0.0,1e-05
95,3.189453125,3.189453125,0.0,1e-05
96,3.845703125,3.845703125,0.0,1e-05
97,2.859375,2.859375,0.0,1e-05
98,3.47265625,3.47265625,0.0,1e-05
99,3.751953125,3.751953125,0.0,1e-05
100,3.591796875,3.591796875,0.0,1e-05
