step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.146484375,3.146484375,0.0,0.001
1,3.552734375,3.552734375,0.0,0.001
2,3.3046875,3.3046875,0.0,0.001
3,2.853515625,2.853515625,0.0,0.001
4,3.3046875,3.3046875,0.0,0.001
5,3.037109375,3.037109375,0.0,0.001
6,3.615234375,3.615234375,0.0,0.001
7,2.88671875,2.88671875,0.0,0.001
8,4.1640625,4.1640625,0.0,0.001
9,3.677734375,3.677734375,0.0,0.001
10,3.552734375,3.552734375,0.0,0.001
11,3.50390625,3.50390625,0.0,0.001
12,3.044921875,3.044921875,0.0,0.001
13,3.912109375,3.912109375,0.0,0.001
14,3.234375,3.234375,0.0,0.001
15,3.11328125,3.11328125,0.0,0.001
16,4.1640625,4.1640625,0.0,0.001
17,4.12109375,4.12109375,0.0,0.001
18,3.75,3.75,0.0,0.001
19,3.818359375,3.818359375,0.0,0.001
20,3.591796875,3.591796875,0.0,0.001
21,3.4453125,3.4453125,0.0,0.001
22,3.296875,3.296875,0.0,0.001
23,3.90234375,3.90234375,0.0,0.001
24,2.65234375,2.65234375,0.0,0.001
25,3.806640625,3.806640625,0.0,0.001
26,3.326171875,3.326171875,0.0,0.001
27,3.740234375,3.740234375,0.0,0.001
28,3.240234375,3.240234375,0.0,0.001
29,3.732421875,3.732421875,0.0,0.001
30,3.95703125,3.95703125,0.0,0.001
31,3.18359375,3.18359375,0.0,0.001
32,4.62890625,4.62890625,0.0,0.001
33,4.1328125,4.1328125,0.0,0.001
34,3.52734375,3.52734375,0.0,0.001
35,3.234375,3.234375,0.0,0.001
36,3.947265625,3.947265625,0.0,0.001
37,3.3828125,3.3828125,0.0,0.001
38,3.3203125,3.3203125,0.0,0.001
39,3.888671875,3.888671875,0.0,0.001
40,3.708984375,3.708984375,0.0,0.001
41,3.705078125,3.705078125,0.0,0.001
42,3.1953125,3.1953125,0.0,0.001
43,3.81640625,3.81640625,0.0,0.001
44,4.76953125,4.76953125,0.0,0.001
45,3.939453125,3.939453125,0.0,0.001
46,3.23828125,3.23828125,0.0,0.001
47,4.05859375,4.05859375,0.0,0.001
48,3.3984375,3.3984375,0.0,0.001
49,3.798828125,3.798828125,0.0,0.001
50,4.16015625,4.16015625,0.0,0.001
51,4.44140625,4.44140625,0.0,0.001
52,3.486328125,3.486328125,0.0,0.001
53,3.404296875,3.404296875,0.0,0.001
54,3.77734375,3.77734375,0.0,0.001
55,3.7421875,3.7421875,0.0,0.001
56,3.9609375,3.9609375,0.0,0.001
57,3.068359375,3.068359375,0.0,0.001
58,3.41015625,3.41015625,0.0,0.001
59,3.076171875,3.076171875,0.0,0.001
60,3.416015625,3.416015625,0.0,0.001
61,4.30859375,4.30859375,0.0,0.001
62,3.705078125,3.705078125,0.0,0.001
63,3.779296875,3.779296875,0.0,0.001
64,2.90625,2.90625,0.0,0.001
65,2.822265625,2.822265625,0.0,0.001
66,4.03515625,4.03515625,0.0,0.001
67,3.158203125,3.158203125,0.0,0.001
68,3.01953125,3.01953125,0.0,0.001
69,2.798828125,2.798828125,0.0,0.001
70,3.5625,3.5625,0.0,0.001
71,3.6640625,3.6640625,0.0,0.001
72,3.373046875,3.373046875,0.0,0.001
73,2.978515625,2.978515625,0.0,0.001
74,3.12890625,3.12890625,0.0,0.001
75,3.310546875,3.310546875,0.0,0.001
76,3.3125,3.3125,0.0,0.001
77,3.63671875,3.63671875,0.0,0.001
78,3.8359375,3.8359375,0.0,0.001
79,4.0546875,4.0546875,0.0,0.001
80,3.599609375,3.599609375,0.0,0.001
81,3.576171875,3.576171875,0.0,0.001
82,3.65625,3.65625,0.0,0.001
83,3.109375,3.109375,0.0,0.001
84,3.294921875,3.294921875,0.0,0.001
85,3.9140625,3.9140625,0.0,0.001
86,3.556640625,3.556640625,0.0,0.001
87,3.4296875,3.4296875,0.0,0.001
88,2.7265625,2.7265625,0.0,0.001
89,3.6640625,3.6640625,0.0,0.001
90,3.615234375,3.615234375,0.0,0.001
91,3.83203125,3.83203125,0.0,0.001
92,3.796875,3.796875,0.0,0.001
93,3.60546875,3.60546875,0.0,0.001
94,3.14453125,3.14453125,0.0,0.001
95,3.1875,3.1875,0.0,0.001
96,2.73046875,2.73046875,0.0,0.001
97,3.056640625,3.056640625,0.0,0.001
98,3.515625,3.515625,0.0,0.001
99,2.8203125,2.8203125,0.0,0.001
100,3.013671875,3.013671875,0.0,0.001
