step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.296875,3.296875,0.0,0.01
1,4.12890625,4.12890625,0.0,0.01
2,3.287109375,3.287109375,0.0,0.01
3,3.310546875,3.310546875,0.0,0.01
4,3.06640625,3.06640625,0.0,0.01
5,3.912109375,3.912109375,0.0,0.01
6,3.123046875,3.123046875,0.0,0.01
7,3.166015625,3.166015625,0.0,0.01
8,4.13671875,4.13671875,0.0,0.01
9,3.5859375,3.5859375,0.0,0.01
10,3.73828125,3.73828125,0.0,0.01
11,4.234375,4.234375,0.0,0.01
12,3.4453125,3.4453125,0.0,0.01
13,4.26953125,4.26953125,0.0,0.01
14,3.513671875,3.513671875,0.0,0.01
15,3.94140625,3.94140625,0.0,0.01
16,3.90234375,3.90234375,0.0,0.01
17,3.7109375,3.7109375,0.0,0.01
18,4.04296875,4.04296875,0.0,0.01
19,3.904296875,3.904296875,0.0,0.01
20,3.267578125,3.267578125,0.0,0.01
21,3.0,3.0,0.0,0.01
22,3.23828125,3.23828125,0.0,0.01
23,2.681640625,2.681640625,0.0,0.01
24,3.384765625,3.384765625,0.0,0.01
25,2.810546875,2.810546875,0.0,0.01
26,3.837890625,3.837890625,0.0,0.01
27,3.255859375,3.255859375,0.0,0.01
28,2.99609375,2.99609375,0.0,0.01
29,3.330078125,3.330078125,0.0,0.01
30,2.82421875,2.82421875,0.0,0.01
31,2.564453125,2.564453125,0.0,0.01
32,3.490234375,3.490234375,0.0,0.01
33,3.650390625,3.650390625,0.0,0.01
34,3.072265625,3.072265625,0.0,0.01
35,3.43359375,3.43359375,0.0,0.01
36,3.330078125,3.330078125,0.0,0.01
37,3.388671875,3.388671875,0.0,0.01
38,3.3984375,3.3984375,0.0,0.01
39,3.193359375,3.193359375,0.0,0.01
40,3.203125,3.203125,0.0,0.01
41,3.27734375,3.27734375,0.0,0.01
42,3.3515625,3.3515625,0.0,0.01
43,2.8046875,2.8046875,0.0,0.01
44,3.109375,3.109375,0.0,0.01
45,3.576171875,3.576171875,0.0,0.01
46,3.603515625,3.603515625,0.0,0.01
47,3.365234375,3.365234375,0.0,0.01
48,3.4921875,3.4921875,0.0,0.01
49,3.73046875,3.73046875,0.0,0.01
50,4.10546875,4.10546875,0.0,0.01
51,3.40625,3.40625,0.0,0.01
52,3.515625,3.515625,0.0,0.01
53,3.298828125,3.298828125,0.0,0.01
54,3.2421875,3.2421875,0.0,0.01
55,3.138671875,3.138671875,0.0,0.01
56,4.03125,4.03125,0.0,0.01
57,2.572265625,2.572265625,0.0,0.01
58,3.470703125,3.470703125,0.0,0.01
59,3.19140625,3.19140625,0.0,0.01
60,3.189453125,3.189453125,0.0,0.01
61,3.6796875,3.6796875,0.0,0.01
62,3.67578125,3.67578125,0.0,0.01
63,3.388671875,3.388671875,0.0,0.01
64,3.21484375,3.21484375,0.0,0.01
65,2.759765625,2.759765625,0.0,0.01
66,3.470703125,3.470703125,0.0,0.01
67,3.77734375,3.77734375,0.0,0.01
68,3.34375,3.34375,0.0,0.01
69,3.267578125,3.267578125,0.0,0.01
70,2.857421875,2.857421875,0.0,0.01
71,3.12890625,3.12890625,0.0,0.01
72,3.478515625,3.478515625,0.0,0.01
73,3.56640625,3.56640625,0.0,0.01
74,3.16015625,3.16015625,0.0,0.01
75,3.177734375,3.177734375,0.0,0.01
76,4.1171875,4.1171875,0.0,0.01
77,3.203125,3.203125,0.0,0.01
78,2.89453125,2.89453125,0.0,0.01
79,2.787109375,2.787109375,0.0,0.01
80,3.69140625,3.69140625,0.0,0.01
81,3.1640625,3.1640625,0.0,0.01
82,3.556640625,3.556640625,0.0,0.01
83,3.302734375,3.302734375,0.0,0.01
84,3.443359375,3.443359375,0.0,0.01
85,2.88671875,2.88671875,0.0,0.01
86,3.080078125,3.080078125,0.0,0.01
87,3.52734375,3.52734375,0.0,0.01
88,3.515625,3.515625,0.0,0.01
89,3.259765625,3.259765625,0.0,0.01
90,3.09375,3.09375,0.0,0.01
91,2.8984375,2.8984375,0.0,0.01
92,3.71484375,3.71484375,0.0,0.01
93,3.5,3.5,0.0,0.01
94,3.0,3.0,0.0,0.01
95,3.484375,3.484375,0.0,0.01
96,3.177734375,3.177734375,0.0,0.01
97,3.263671875,3.263671875,0.0,0.01
98,2.97265625,2.97265625,0.0,0.01
99,2.953125,2.953125,0.0,0.01
100,3.357421875,3.357421875,0.0,0.01
